Tiempo, Cabina1, Cabina2, Cabina3, Cabina4, 
1, vacio, vacio, vacio, vacio, 
2, vacio, vacio, vacio, vacio, 
3, vacio, vacio, vacio, vacio, 
4, vacio, vacio, vacio, vacio, 
5, vacio, vacio, vacio, vacio, 
6, vacio, vacio, vacio, vacio, 
7, vacio, vacio, vacio, vacio, 
8, vacio, vacio, vacio, vacio, 
9, vacio, vacio, vacio, vacio, 
10, vacio, vacio, vacio, vacio, 
11, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, vacio, 
12, EJECUTA SBS-5632 EMERGENCIA, vacio, vacio, vacio, 
13, EJECUTA AHN-6303 NORMAL, vacio, vacio, vacio, 
14, EJECUTA AHN-6303 NORMAL, vacio, vacio, vacio, 
15, vacio, vacio, vacio, vacio, 
16, vacio, vacio, vacio, vacio, 
17, vacio, EJECUTA TYC-9071 NORMAL, vacio, vacio, 
18, vacio, EJECUTA TYC-9071 NORMAL, vacio, vacio, 
19, vacio, vacio, vacio, vacio, 
20, vacio, vacio, vacio, vacio, 
21, vacio, vacio, vacio, vacio, 
22, vacio, vacio, vacio, vacio, 
23, vacio, vacio, vacio, vacio, 
24, vacio, vacio, vacio, vacio, 
25, EJECUTA ZBS-5632 NORMAL, vacio, EJECUTA JYC-7621 NORMAL, vacio, 
26, EJECUTA ZBS-5632 NORMAL, vacio, EJECUTA JYC-7621 NORMAL, vacio, 
27, vacio, vacio, vacio, vacio, 
28, vacio, vacio, vacio, vacio, 
29, vacio, vacio, vacio, vacio, 
30, vacio, EJECUTA XBS-5632 NORMAL, vacio, vacio, 
31, EJECUTA ABS-1253 NORMAL, EJECUTA XBS-5632 NORMAL, vacio, EJECUTA CYC-9901 NORMAL, 
32, EJECUTA ABS-1253 NORMAL, vacio, vacio, EJECUTA CYC-9901 NORMAL, 
33, vacio, vacio, vacio, vacio, 
34, vacio, vacio, vacio, vacio, 
35, vacio, vacio, vacio, vacio, 
36, vacio, vacio, vacio, vacio, 
37, vacio, vacio, vacio, vacio, 
38, vacio, vacio, vacio, vacio, 
39, vacio, vacio, vacio, vacio, 
40, vacio, vacio, vacio, vacio, 
41, vacio, vacio, vacio, vacio, 
42, EJECUTA CDA-6311 EMERGENCIA, vacio, vacio, vacio, 
43, EJECUTA CDA-6311 EMERGENCIA, vacio, vacio, vacio, 
44, vacio, vacio, vacio, vacio, 
45, vacio, vacio, vacio, vacio, 
46, vacio, vacio, vacio, vacio, 
47, EJECUTA LPA-0981 NORMAL, vacio, vacio, vacio, 
48, EJECUTA LPA-0981 NORMAL, vacio, vacio, vacio, 
49, vacio, vacio, vacio, vacio, 
50, vacio, EJECUTA FGS-8790 NORMAL, vacio, vacio, 
51, vacio, EJECUTA FGS-8790 NORMAL, vacio, vacio, 
52, vacio, vacio, vacio, vacio, 
53, vacio, vacio, vacio, vacio, 
54, vacio, vacio, vacio, vacio, 
55, vacio, vacio, vacio, vacio, 
56, vacio, vacio, vacio, vacio, 
57, vacio, vacio, vacio, vacio, 
58, vacio, vacio, vacio, vacio, 
59, vacio, vacio, vacio, vacio, 
60, EJECUTA AAA-0199 NORMAL, vacio, vacio, vacio, 
61, EJECUTA AAA-0199 NORMAL, vacio, vacio, vacio, 
62, vacio, EJECUTA SBD-1213 NORMAL, vacio, vacio, 
63, vacio, EJECUTA SBD-1213 NORMAL, EJECUTA HGA-6352 NORMAL, vacio, 
64, vacio, vacio, EJECUTA HGA-6352 NORMAL, vacio, 
65, vacio, vacio, vacio, vacio, 
66, vacio, vacio, vacio, vacio, 
67, vacio, vacio, vacio, vacio, 
68, vacio, vacio, vacio, vacio, 
69, vacio, vacio, vacio, vacio, 
70, EJECUTA UHS-0981 EMERGENCIA, vacio, vacio, vacio, 
71, EJECUTA UHS-0981 EMERGENCIA, vacio, vacio, vacio, 
72, vacio, vacio, vacio, vacio, 
73, vacio, vacio, vacio, vacio, 
74, vacio, vacio, vacio, vacio, 
75, vacio, vacio, vacio, vacio, 
76, vacio, vacio, vacio, vacio, 
77, vacio, vacio, vacio, vacio, 
78, EJECUTA KJA-3212 NORMAL, vacio, vacio, vacio, 
79, EJECUTA KJA-3212 NORMAL, EJECUTA PLA-2316 NORMAL, vacio, vacio, 
80, vacio, EJECUTA PLA-2316 NORMAL, vacio, vacio, 
81, vacio, vacio, vacio, vacio, 
82, vacio, vacio, EJECUTA OLP-5321 NORMAL, vacio, 
83, vacio, vacio, EJECUTA OLP-5321 NORMAL, vacio, 
84, vacio, vacio, vacio, vacio, 
85, vacio, vacio, vacio, EJECUTA ILP-1111 NORMAL, 
86, vacio, vacio, vacio, EJECUTA ILP-1111 NORMAL, 
87, vacio, vacio, vacio, vacio, 
88, vacio, vacio, vacio, vacio, 
89, vacio, vacio, vacio, vacio, 
90, EJECUTA QWE-7612 NORMAL, vacio, vacio, vacio, 
91, EJECUTA QWE-7612 NORMAL, vacio, vacio, vacio, 
92, vacio, vacio, vacio, vacio, 
